id_ingreso;nombre_ingreso;nombre_planta;producto;zona;tipo_ingreso;almacen_verano;almacen_invierno;cosecha_compra;mes_planificado;volumen
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;15;0,0
ing8;Cosecha Zona Valdivia;Nueva_aldea;EUGL;valdivia;directo_planta;N_A;N_A;cosecha;16;0,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;1;12559,999999999998
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;2;10000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;3;10000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;4;11000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;5;18000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;6;18000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;7;18000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;8;16000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;9;12000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;10;10000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;11;10000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;12;12000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;13;16000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;14;18000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;15;18000,0
ing9;Compras Puesto en planta PPP;Nueva_aldea;EUNI;chillan;directo_planta;N_A;N_A;compras;16;18000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;1;1523,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;2;7000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;3;7000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;4;7000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;5;11000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;6;11000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;7;11000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;8;11000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;9;7000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;10;7000,0
ing10;Compras en cancha (CN);Nueva_aldea;EUNI;chillan;directo_almacen;alm6;alm6;compras;11;7000,0
